county,year,month,wildfire_acres
Kern,2017.0,4.0,49.33765
Kern,2017.0,5.0,555.7076550000002
Kern,2017.0,6.0,1867.8363699829054
Kern,2017.0,7.0,3057.2583856492797
Kern,2017.0,8.0,72.32542112000003
Kern,2017.0,9.0,1373.3056430000006
Kern,2017.0,10.0,74.86629999999995
Kern,2017.0,11.0,3.9798949999999995
Kern,2017.0,12.0,22.35437999999998
Kern,2018.0,2.0,0.5393313
Kern,2018.0,3.0,0.22155429999999998
Kern,2018.0,4.0,4.717120000000001
Kern,2018.0,5.0,17.8152275
Kern,2018.0,6.0,64.00106500000001
Kern,2018.0,7.0,48.43633899999999
Kern,2018.0,8.0,4183.112860563023
Kern,2018.0,9.0,219.42889300000004
Kern,2019.0,5.0,3575.867200000001
Kern,2019.0,7.0,227.00950000000012
Kern,2019.0,9.0,41.70328100000001
Kern,2019.0,10.0,187.19894399999998
Kern,2019.0,11.0,14.535880000000004
Kern,2019.0,,21.813352813746626
Kings,2001.0,8.0,26.38666
Kings,2005.0,7.0,73.53339000000003
Kings,2007.0,8.0,2089.8587104787475
Kings,2008.0,,945.3324999999993
Kings,2011.0,9.0,64.31985999999999
Kings,2012.0,6.0,43.68042
Kings,2012.0,7.0,241.71486420365366
Kings,2017.0,5.0,23.45427000000001
Kings,2017.0,7.0,15506.479680975273
Kings,2017.0,8.0,19.413360000000054
Kings,2018.0,4.0,49.161600000000014
Kings,2018.0,6.0,24.164820000000006
Kings,2019.0,4.0,50.13959000000001
Kings,2019.0,9.0,119.70435
Kings,2019.0,,139.09904718625288
Lake,2000.0,3.0,1358.2380000000007
Lake,2000.0,7.0,3316.2589999999973
Lake,2000.0,11.0,3960.484000000001
Lake,2001.0,6.0,155.62869999999995
Lake,2001.0,8.0,6509.078170195863
Lake,2003.0,6.0,22.914159999999995
Lake,2003.0,8.0,144.2492000000001
Lake,2003.0,9.0,6955.1272401599135
Lake,2003.0,10.0,85.58295000000001
